NTA,Total Savings,Job created
Bushwick South,26140,10
Carroll Gardens-Columbia Street-Red Hook,24337,0
College Point,17159,2
Crown Heights North,4036,0
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,63639,0
East New York,53156,0
East Williamsburg,13990,0
Greenpoint,9753,0
Hunters Point-Sunnyside-West Maspeth,23931,0
Hunts Point,42330,12
Manhattanville,2760,0
Maspeth,6658,10
Mott Haven-Port Morris,17843,10
Queensbridge-Ravenswood-Long Island City,61830,0
Springfield Gardens South-Brookville,17757,0
Steinway,11227,20
Sunset Park West,14622,0
park-cemetery-etc-Brooklyn,14327,0
